	0
0	intestine,algae,yeast cells,kidney,cultured cells,liver,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,lung,cerebrospinal fluid,cerebrospinal fluid,breast,feces,feces
1	intestine,intestine,urine,algae,yeast cells,kidney,cultured cells,cultured cells,cultured cells,liver,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,blood,blood,lung,lung,b cells,cerebrospinal fluid,cerebrospinal fluid,breast,feces,feces
2	intestine,liver,blood,blood
3	liver,blood,blood,blood,blood,blood,blood,lung
4	liver,adipose tissue,blood,blood,blood,blood,blood,lung,cerebrospinal fluid
5	intestine,intestine,urine,algae,yeast cells,kidney,cultured cells,cultured cells,cultured cells,liver,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,blood,blood,blood,lung,lung,b cells,cerebrospinal fluid,cerebrospinal fluid,feces,feces
6	blood,blood,blood
7	intestine,intestine,urine,yeast cells,kidney,cultured cells,liver,liver,adipose tissue,adipose tissue,bacterial cells,blood,blood,blood,blood,blood,blood,blood,lung,lung,cerebrospinal fluid,cerebrospinal fluid,feces
8	intestine,urine,kidney,cultured cells,cultured cells,liver,liver,adipose tissue,bacterial cells,blood,blood,blood,blood,blood,blood,blood,blood,lung,b cells,cerebrospinal fluid,cerebrospinal fluid,breast
9	algae,yeast cells,cultured cells,liver,liver,adipose tissue,bacterial cells,blood,blood,blood,blood,blood,blood,lung,cerebrospinal fluid,cerebrospinal fluid,feces
10	liver,blood,blood,blood,blood,blood,lung
11	intestine,urine,algae,yeast cells,kidney,cultured cells,cultured cells,liver,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,blood,lung,lung,b cells,cerebrospinal fluid,cerebrospinal fluid,breast,feces,feces
12	urine,cultured cells,blood,b cells,cerebrospinal fluid,cerebrospinal fluid,feces
13	bacterial cells,blood,feces
14	urine,algae,yeast cells,kidney,cultured cells,cultured cells,cultured cells,liver,liver,liver,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,lung,b cells,breast
15	liver,blood,blood,blood
16	intestine,liver,liver,adipose tissue,adipose tissue,blood,blood,blood,blood,blood,blood,blood,blood,lung,lung,b cells,feces,feces
17	intestine,kidney,cultured cells,cultured cells,cultured cells,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,lung,lung,cerebrospinal fluid,breast,feces,feces
18	intestine,kidney,cultured cells,cultured cells,liver,liver,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,lung,cerebrospinal fluid,breast
19	intestine,adipose tissue,bacterial cells,bacterial cells,blood,cerebrospinal fluid,cerebrospinal fluid,feces
20	algae,kidney,cultured cells,liver,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,cerebrospinal fluid,breast
21	intestine,cultured cells,cultured cells,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,breast
22	intestine,intestine,urine,algae,yeast cells,kidney,cultured cells,cultured cells,cultured cells,liver,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,blood,blood,blood,lung,lung,b cells,cerebrospinal fluid,cerebrospinal fluid,breast,feces,feces
23	algae,liver,liver,liver,adipose tissue,adipose tissue,bacterial cells,bacterial cells,blood,blood,blood,blood,blood,blood,blood,blood,blood,lung
